external_userid,multiplier,tier,is_recent,click_count_1year,click_count_20day
1699739458,3.0,elite,True,11,1.0
1851461768,3.0,extreme_elite,True,20,4.0
1407386642,3.0,extreme_elite,False,16,
1689636953,3.0,extreme_elite,True,14,2.0
1184692576,3.0,elite,True,12,1.0
1821299926,3.0,elite,True,12,2.0
1346661899,3.0,elite,True,12,2.0
1154381457,3.0,extreme_elite,True,15,1.0
1841239449,3.0,extreme_elite,False,15,
1336467604,3.0,extreme_elite,False,14,
1356327381,3.0,elite,True,12,5.0
1558438762,3.0,extreme_elite,True,26,6.0
1780756171,3.0,extreme_elite,True,14,2.0
1033316153,3.0,elite,True,11,2.0
1831156041,3.0,extreme_elite,False,16,
1487693560,3.0,extreme_elite,True,14,1.0
1578681185,3.0,extreme_elite,True,24,6.0
1356414890,3.0,extreme_elite,True,19,2.0
1124235536,3.0,extreme_elite,True,15,1.0
1235467358,3.0,extreme_elite,True,18,3.0
1154519239,3.0,extreme_elite,True,15,1.0
1952395618,3.0,extreme_elite,False,18,
1407982259,3.0,extreme_elite,False,15,
1033459219,3.0,extreme_elite,True,17,6.0
1124219076,3.0,extreme_elite,True,14,1.0
1366483828,3.0,elite,True,11,2.0
1497886212,3.0,extreme_elite,True,14,2.0
1275582595,3.0,elite,True,12,1.0
1699988915,3.0,extreme_elite,False,17,
1831124544,3.0,extreme_elite,True,16,1.0
1962496505,3.0,extreme_elite,True,15,3.0
1528065406,3.0,extreme_elite,True,23,3.0
1225127319,3.0,extreme_elite,False,26,
1316016504,3.0,extreme_elite,True,16,1.0
1134215676,3.0,elite,True,11,2.0
1750464012,3.0,elite,True,11,2.0
1912227125,3.0,extreme_elite,True,17,5.0
1225080328,3.0,elite,True,11,2.0
1295944114,3.0,elite,True,12,1.0
1093744880,3.0,elite,True,12,3.0
1770549891,3.0,elite,True,13,5.0
1104894799,3.0,elite,True,11,1.0
[ADX_EUID],3.0,extreme_elite,False,65,
1467533778,3.0,extreme_elite,True,16,2.0
1477501450,3.0,elite,True,12,1.0
1932274289,3.0,elite,True,11,1.0
1659316750,3.0,extreme_elite,False,19,
1063777100,3.0,elite,True,13,2.0
1750382289,3.0,extreme_elite,False,31,
1891047585,3.0,elite,True,12,1.0
1083610125,3.0,elite,True,11,2.0
1699218024,3.0,elite,True,12,3.0
1437136819,3.0,elite,True,11,1.0
1316930340,3.0,elite,True,12,1.0
1336145176,3.0,elite,True,11,2.0
1346228640,3.0,extreme_elite,True,16,2.0
1427095645,3.0,extreme_elite,True,14,3.0
1154727584,3.0,elite,True,11,2.0
1609116425,3.0,extreme_elite,False,15,
1245260363,3.0,elite,True,11,3.0
1457421653,3.0,extreme_elite,False,14,
1922000918,3.0,extreme_elite,True,15,3.0
1003887019,3.0,elite,True,11,3.0
1659385722,3.0,extreme_elite,True,16,1.0
1336268846,2.5,elite,False,11,
1811966567,2.5,elite,False,11,
1659809721,2.5,elite,False,13,
1326120403,2.5,elite,False,12,
1700985140,2.5,elite,False,12,
1811085319,2.5,elite,False,12,
1659374411,2.5,elite,False,12,
1316681513,2.5,elite,False,11,
1669440822,2.5,elite,False,13,
1376663153,2.5,elite,False,12,
1285711259,2.5,elite,False,12,
1851340806,2.5,elite,False,11,
1376579615,2.5,elite,False,11,
1710168026,2.5,elite,False,12,
1235195736,2.5,elite,False,13,
1346203742,2.5,elite,False,11,
1154484673,2.5,elite,False,12,
1447243241,2.5,elite,False,11,
1922125053,2.5,elite,False,12,
1114903051,2.5,elite,False,13,
1295715639,2.5,elite,False,11,
1447244389,2.5,elite,False,12,
1477635290,2.5,elite,False,12,
1790828119,2.5,elite,False,13,
1346371143,2.5,elite,False,11,
1184670226,2.5,elite,False,13,
1821193939,2.5,elite,False,12,
1457664278,2.5,elite,False,11,
1548303571,2.5,elite,False,13,
1821513037,2.5,elite,False,11,
1669780656,2.5,elite,False,11,
1972545457,2.5,elite,False,11,
1952863508,2.5,elite,False,11,
1083639744,2.5,elite,False,11,
1053517953,2.5,elite,False,11,
1396918314,2.5,elite,False,12,
1396837472,2.5,elite,False,11,
1205828241,2.16,cream,True,10,1.0
1376533463,2.16,cream,True,10,4.0
1942305958,2.16,cream,True,10,2.0
1861476061,2.16,cream,True,10,1.0
1104377506,2.16,cream,True,10,4.0
1922357490,2.16,cream,True,10,1.0
1851345979,2.16,cream,True,10,1.0
1790750339,2.16,cream,True,10,3.0
1376633115,2.16,cream,True,10,2.0
1770568651,2.16,cream,True,10,1.0
1255890026,2.16,cream,True,10,3.0
1144292350,2.16,cream,True,10,2.0
1760616437,2.16,cream,True,10,1.0
1144464082,2.16,cream,True,10,1.0
1710997721,2.16,cream,True,10,3.0
1679650261,2.16,cream,True,10,1.0
1629370275,2.16,cream,True,10,3.0
1760483002,2.16,cream,True,10,2.0
1942392758,2.16,cream,True,10,2.0
1326066705,2.16,cream,True,10,2.0
1356430227,2.16,cream,True,10,3.0
1902894447,2.16,cream,True,10,4.0
1336165232,2.16,cream,True,10,1.0
1235100983,2.16,cream,True,10,6.0
1659341303,2.16,cream,True,10,2.0
1215127253,2.16,cream,True,10,1.0
1720082282,2.16,cream,True,10,2.0
1316064355,1.8,cream,False,10,
1912524125,1.8,cream,False,10,
1891793410,1.8,cream,False,10,
1689961161,1.8,cream,False,10,
1417123696,1.8,cream,False,10,
1588639041,1.8,cream,False,10,
1316088156,1.8,cream,False,10,
1689664328,1.8,cream,False,10,
1144269820,1.8,cream,False,10,
1093789026,1.8,cream,False,10,
1831251263,1.8,cream,False,10,
1336107473,1.8,cream,False,10,
1922028083,1.8,cream,False,10,
1194708651,1.8,cream,False,10,
1720426356,1.8,cream,False,10,
1881846749,1.2,insufficient_data,True,3,1.0
1750325106,1.2,insufficient_data,True,2,1.0
1447440987,1.2,insufficient_data,True,1,1.0
1548282916,1.2,insufficient_data,True,1,1.0
1487612685,1.2,insufficient_data,True,1,1.0
1770977175,1.2,insufficient_data,True,2,1.0
1659781995,1.2,insufficient_data,True,1,1.0
1457492217,1.2,insufficient_data,True,1,1.0
1497242218,1.2,insufficient_data,True,2,1.0
1174581862,1.2,insufficient_data,True,4,2.0
1902903990,1.2,insufficient_data,True,3,1.0
1740229285,1.2,insufficient_data,True,3,2.0
1447921853,1.2,insufficient_data,True,1,1.0
1346457470,1.2,insufficient_data,True,1,1.0
1770890295,1.2,insufficient_data,True,1,1.0
1205005212,1.2,insufficient_data,True,2,1.0
1063706992,1.2,insufficient_data,True,1,1.0
1295799666,1.2,insufficient_data,True,1,1.0
1326198656,1.2,insufficient_data,True,1,1.0
1295115145,1.2,insufficient_data,True,1,1.0
1942494265,1.2,insufficient_data,True,1,1.0
1083772891,1.2,insufficient_data,True,1,1.0
