geo_region_name,browser_code,suggested_bid_cpm
Mississippi,146,7.56
Mississippi,150,7.56
Missouri,-1,7.56
Missouri,5,7.56
Missouri,14,7.97
Missouri,46,7.66
Missouri,100,7.19
Missouri,143,6.8
Missouri,144,6.8
Missouri,146,6.72
Missouri,149,8.05
Missouri,150,6.72
Montana,-1,8.05
Montana,14,7.58
Montana,46,8.05
Montana,100,8.05
Montana,143,6.33
Montana,144,6.33
Montana,150,8.05
Nebraska,-1,8.05
Nebraska,14,7.89
Nebraska,46,7.56
Nebraska,100,7.04
Nebraska,143,6.65
Nebraska,144,6.65
Nebraska,145,8.05
Nebraska,146,7.56
Nebraska,150,7.56
Nevada,14,7.58
Nevada,100,8.05
Nevada,143,6.33
Nevada,144,6.33
Nevada,146,8.05
Nevada,150,8.05
New Hampshire,-1,8.05
New Hampshire,5,8.05
New Hampshire,14,7.58
New Hampshire,46,8.05
New Hampshire,100,7.56
New Hampshire,143,6.42
New Hampshire,144,6.33
New Hampshire,145,8.05
New Hampshire,146,7.56
New Hampshire,150,7.56
New Jersey,-1,7.56
New Jersey,5,7.56
New Jersey,14,7.51
New Jersey,46,7.56
New Jersey,100,6.65
New Jersey,143,6.26
New Jersey,144,6.26
New Jersey,145,8.05
New Jersey,146,6.26
New Jersey,150,6.18
New Mexico,-1,7.56
New Mexico,5,8.05
New Mexico,14,7.89
New Mexico,46,8.05
New Mexico,100,8.05
New Mexico,143,6.65
New Mexico,144,6.65
New Mexico,146,7.56
New Mexico,150,7.56
New York,-1,7.56
New York,5,7.73
New York,14,7.66
New York,46,7.34
New York,100,6.8
New York,136,8.05
New York,137,8.05
New York,143,6.42
New York,144,6.42
New York,145,8.05
New York,146,6.42
New York,150,6.33
North Carolina,-1,7.56
North Carolina,5,7.56
North Carolina,14,7.81
North Carolina,46,7.56
North Carolina,100,7.04
North Carolina,137,8.05
North Carolina,143,6.65
North Carolina,144,6.57
North Carolina,145,7.56
North Carolina,146,6.57
North Carolina,150,6.57
North Dakota,-1,8.05
North Dakota,5,8.05
North Dakota,14,7.66
North Dakota,46,8.05
North Dakota,100,7.56
North Dakota,143,6.42
North Dakota,144,6.42
North Dakota,146,8.05
North Dakota,150,8.05
Ohio,-1,7.56
Ohio,5,7.56
Ohio,14,7.66
Ohio,46,7.56
Ohio,100,6.8
Ohio,137,8.05
Ohio,143,6.42
Ohio,144,6.42
Ohio,145,8.05
Ohio,146,6.42
Ohio,150,6.33
Oklahoma,-1,8.05
Oklahoma,5,7.56
Oklahoma,14,7.97
Oklahoma,46,8.05
Oklahoma,100,7.19
Oklahoma,136,8.05
Oklahoma,143,6.72
Oklahoma,144,6.72
Oklahoma,146,6.72
Oklahoma,150,7.56
Oregon,-1,8.05
Oregon,5,7.56
Oregon,14,7.58
Oregon,46,7.56
Oregon,100,8.05
Oregon,143,6.42
Oregon,144,6.42
Oregon,145,8.05
Oregon,146,7.56
Oregon,150,6.33
Pennsylvania,-1,7.56
Pennsylvania,5,7.56
Pennsylvania,14,7.04
