geo_region_name,browser_code,suggested_bid_cpm,raw_bid,bid_method,exploration_direction,exploration_adjustment,observation_count,win_rate,ctr,expected_value_cpm,is_profitable,npi_multiplier
West Virginia,143,6.5,6.5,v6_landscape_volume,neutral,1.0,4917,0.0842,0.0001456,0.2961,False,1.0
Iowa,143,6.1,6.1,v6_landscape_volume,neutral,1.0,4647,0.1074,0.01127203,22.9246,True,1.0
California,143,6.26,6.26,v6_landscape_volume,neutral,1.0,4556,0.0906,0.00014966,0.3044,False,1.0
Unknown,143,6.26,6.26,v6_landscape_volume,neutral,1.0,4352,0.0911,0.00284691,5.7899,True,1.0
Connecticut,143,7.27,7.27,v6_landscape_volume,neutral,1.0,4332,0.0734,0.00018492,0.3761,False,1.0
Virginia,144,6.03,6.03,v6_landscape_volume,neutral,1.0,4151,0.1281,0.01593032,32.3985,True,1.0
Kansas,14,7.81,7.81,v6_landscape_volume,neutral,1.0,4031,0.0457,0.00030355,0.6174,True,1.0
Mississippi,143,6.5,6.5,v6_landscape_volume,neutral,1.0,3995,0.0823,0.01398993,28.4522,True,1.0
Colorado,143,6.33,6.33,v6_landscape_volume,neutral,1.0,3989,0.0999,0.00256471,5.216,True,1.0
Oklahoma,14,7.97,7.97,v6_landscape_volume,neutral,1.0,3947,0.0491,0.00028858,0.5869,True,1.0
Nebraska,14,7.89,7.89,v6_landscape_volume,neutral,1.0,3828,0.0411,0.00034786,0.7075,True,1.0
District of Columbia,14,7.51,7.51,v6_landscape_volume,neutral,1.0,3467,0.0564,0.00028102,0.5715,True,1.0
Maine,143,6.88,6.88,v6_landscape_volume,neutral,1.0,3346,0.0709,0.00023923,0.4865,False,1.0
Tennessee,14,7.51,7.51,v6_landscape_volume,neutral,1.0,3272,0.061,0.00028602,0.5817,True,1.0
Pennsylvania,144,5.79,5.79,v6_landscape_volume,neutral,1.0,3261,0.1299,0.00456715,9.2885,True,1.0
Unknown,14,7.51,7.51,v6_landscape_volume,neutral,1.0,3192,0.069,0.00183905,3.7402,True,1.0
New Jersey,144,6.26,6.26,v6_landscape_volume,neutral,1.0,3168,0.1008,0.00018334,0.3729,False,1.0
Kentucky,14,7.04,7.04,v6_landscape_volume,neutral,1.0,3008,0.086,0.00022501,0.4576,False,1.0
Maine,14,8.12,8.12,v6_landscape_volume,neutral,1.0,2993,0.0375,0.00045967,0.9349,True,1.0
Arkansas,14,7.43,7.43,v6_landscape_volume,neutral,1.0,2828,0.0666,0.00497361,10.1151,True,1.0
District of Columbia,143,6.26,6.26,v6_landscape_volume,neutral,1.0,2812,0.1075,0.00019384,0.3942,False,1.0
